,Sub-Metric Code OR Sub-Activity Metric Code,Activity Metric Code,Sector Code,Industry Code,Disclosure Topic Code,Accounting Metric Code,Accounting Metric Category,Accounting Metric Unit of Measure,Sub-Metric Code,Sub-Metric Unit of Measure
11290,TR-AF-310a.1a,,TR,TR-AF,TR-AF-310a,TR-AF-310a.1,Quantitative,Percentage (%),TR-AF-310a.1a,Percentage (%)
11291,TR-AF-310a.2a,,TR,TR-AF,TR-AF-310a,TR-AF-310a.2,Quantitative,Reporting currency,TR-AF-310a.2a,Reporting currency
11292,TR-AF-310a.2b,,TR,TR-AF,TR-AF-310a,TR-AF-310a.2,Quantitative,Reporting currency,TR-AF-310a.2b,
11293,TR-AF-320a.1a,,TR,TR-AF,TR-AF-320a,TR-AF-320a.1,Quantitative,Rate,TR-AF-320a.1a,Rate
11294,TR-AF-320a.1b,,TR,TR-AF,TR-AF-320a,TR-AF-320a.1,Quantitative,Rate,TR-AF-320a.1b,Rate
11295,TR-AF-320a.1c,,TR,TR-AF,TR-AF-320a,TR-AF-320a.1,Quantitative,Rate,TR-AF-320a.1c,Rate
11296,TR-AF-320a.1d,,TR,TR-AF,TR-AF-320a,TR-AF-320a.1,Quantitative,Rate,TR-AF-320a.1d,Rate
11297,TR-AF-430a.1a,,TR,TR-AF,TR-AF-430a,TR-AF-430a.1,Quantitative,Percentage (%),TR-AF-430a.1a,Percentage (%)
11298,TR-AF-430a.2a,,TR,TR-AF,TR-AF-430a,TR-AF-430a.2,Quantitative,Metric tons (t) CO₂-e per ton-kilometer,TR-AF-430a.2a,Metric tons CO₂-e per ton-kilometer
11299,TR-AF-540a.1a,,TR,TR-AF,TR-AF-540a,TR-AF-540a.1,Discussion and Analysis,,TR-AF-540a.1a,
11300,TR-AF-540a.2a,,TR,TR-AF,TR-AF-540a,TR-AF-540a.2,Quantitative,Number,TR-AF-540a.2a,Number
11301,TR-AF-540a.3a,,TR,TR-AF,TR-AF-540a,TR-AF-540a.3,Quantitative,Number,TR-AF-540a.3a,Number
11302,TR-AF-540a.4a,,TR,TR-AF,TR-AF-540a,TR-AF-540a.4,Quantitative,Percentile,TR-AF-540a.4a,Percentile
11303,TR-AF-540a.4b,,TR,TR-AF,TR-AF-540a,TR-AF-540a.4,Quantitative,Percentile,TR-AF-540a.4b,Percentile
11304,TR-AF-540a.4c,,TR,TR-AF,TR-AF-540a,TR-AF-540a.4,Quantitative,Percentile,TR-AF-540a.4c,Percentile
11305,TR-AF-540a.4d,,TR,TR-AF,TR-AF-540a,TR-AF-540a.4,Quantitative,Percentile,TR-AF-540a.4d,Percentile
11306,TR-AF-540a.4e,,TR,TR-AF,TR-AF-540a,TR-AF-540a.4,Quantitative,Percentile,TR-AF-540a.4e,Percentile
11307,TR-AF-540a.4f,,TR,TR-AF,TR-AF-540a,TR-AF-540a.4,Quantitative,Percentile,TR-AF-540a.4f,Percentile
14185,TR-AL-000.Aa,,TR,TR-AL,TR-AL-000.A,,Quantitative,ASK,TR-AL-000.Aa,ASK
14186,TR-AL-000.Ba,,TR,TR-AL,TR-AL-000.B,,Quantitative,Rate,TR-AL-000.Ba,Rate
14187,TR-AL-000.Ca,,TR,TR-AL,TR-AL-000.C,,Quantitative,RPK,TR-AL-000.Ca,RPK
14188,TR-AL-000.Da,,TR,TR-AL,TR-AL-000.D,,Quantitative,RTK,TR-AL-000.Da,RTK
14189,TR-AL-000.Ea,,TR,TR-AL,TR-AL-000.E,,Quantitative,Number,TR-AL-000.Ea,Number
14190,TR-AL-000.Fa,,TR,TR-AL,TR-AL-000.F,,Quantitative,Years,TR-AL-000.Fa,Years
14191,TR-AL-110a.1a,,TR,TR-AL,TR-AL-110a,TR-AL-110a.1,Quantitative,Metric tons (t) CO₂-e,TR-AL-110a.1a,Metric tons (t) CO₂-e
14192,TR-AL-110a.2a,,TR,TR-AL,TR-AL-110a,TR-AL-110a.2,Discussion and Analysis,,TR-AL-110a.2a,
14193,TR-AL-110a.3a,,TR,TR-AL,TR-AL-110a,TR-AL-110a.3,Quantitative,"Gigajoules (GJ), Percentage (%)",TR-AL-110a.3a,Gigajoules (GJ)
14194,TR-AL-110a.3b,,TR,TR-AL,TR-AL-110a,TR-AL-110a.3,Quantitative,"Gigajoules (GJ), Percentage (%)",TR-AL-110a.3b,Percentage (%)
14195,TR-AL-110a.3c,,TR,TR-AL,TR-AL-110a,TR-AL-110a.3,Quantitative,"Gigajoules (GJ), Percentage (%)",TR-AL-110a.3c,Percentage (%)
14196,TR-AL-310a.1a,,TR,TR-AL,TR-AL-310a,TR-AL-310a.1,Quantitative,Percentage (%),TR-AL-310a.1a,Percentage (%)
14197,TR-AL-310a.2a,,TR,TR-AL,TR-AL-310a,TR-AL-310a.2,Quantitative,"Number, Days idle",TR-AL-310a.2a,Number
14198,TR-AL-310a.2b,,TR,TR-AL,TR-AL-310a,TR-AL-310a.2,Quantitative,"Number, Days idle",TR-AL-310a.2b,Days idle
14199,TR-AL-310a.2c,,TR,TR-AL,TR-AL-310a,TR-AL-310a.2,Quantitative,"Number, Days idle",TR-AL-310a.2c,
14200,TR-AL-520a.1a,,TR,TR-AL,TR-AL-520a,TR-AL-520a.1,Quantitative,Reporting currency,TR-AL-520a.1a,Reporting currency
14201,TR-AL-520a.1b,,TR,TR-AL,TR-AL-520a,TR-AL-520a.1,Quantitative,Reporting currency,TR-AL-520a.1b,
14202,TR-AL-540a.1a,,TR,TR-AL,TR-AL-540a,TR-AL-540a.1,Discussion and Analysis,,TR-AL-540a.1a,
14203,TR-AL-540a.2a,,TR,TR-AL,TR-AL-540a,TR-AL-540a.2,Quantitative,Number,TR-AL-540a.2a,Number
14204,TR-AL-540a.3a,,TR,TR-AL,TR-AL-540a,TR-AL-540a.3,Quantitative,Number,TR-AL-540a.3a,Number
14930,FB-AB-000.Aa,,FB,FB-AB,FB-AB-000.A,,Quantitative,Millions of hectoliters (Mhl),FB-AB-000.Aa,Millions of hectoliters
14931,FB-AB-000.Ba,,FB,FB-AB,FB-AB-000.B,,Quantitative,Number,FB-AB-000.Ba,Number
14932,FB-AB-000.Ca,,FB,FB-AB,FB-AB-000.C,,Quantitative,Miles,FB-AB-000.Ca,Miles
14933,FB-AB-130a.1a,,FB,FB-AB,FB-AB-130a,FB-AB-130a.1,Quantitative,"Gigajoules (GJ), Percentage (%)",FB-AB-130a.1a,Gigajoules (GJ)
